שם ראשי,תואר,שם מישני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
אוסישקין,,מנחם (מנדל),ד. הסטוריה יהודית,,רחוב,801,א
אוסקר,פרופ',לוי,ב. תושבי העיר,יא. תרבות ומדע,כיכר,,א
אחד העם,,,ד. הסטוריה יהודית,יא. תרבות ומדע,רחוב,802,א
אלי כהן,,,ט. לוחמי ישראל,,צומת,613,א
אסלן,,בינימין,ב. תושבי העיר,,כיכר,,א
בורוכוב,,דב (בר),ד. הסטוריה יהודית,,רחוב,803,א
בזל,,,ז. מקומות של עם ישראל,,רחוב,804,א
בלפור,לורד,ג'ימס,ג. אישים בינלאומיים,,רחוב,805,א
בר אילן,הרב,מאיר (ברלין),ד. הסטוריה יהודית,,כיכר,806,א
ברנר,,חיים,ד. הסטוריה יהודית,יא. תרבות ומדע,רחוב,807,א
גורדון,,אהרון דוד,ד. הסטוריה יהודית,,רחוב,808,א
דאלי,הרב,משה כדורי,ד. הסטוריה יהודית,,כיכר,,א
הכותל המערבי,,,ז. מקומות של עם ישראל,,רחוב,809,א
המייסדים,,,ב. תושבי העיר,,כיכר,437,א
המשחררים,,,ט. לוחמי ישראל,,דרך,810,א
הס,,משה,ד. הסטוריה יהודית,,רחוב,812,א
הראשונים,,,ב. תושבי העיר,,גן,,א
הרבי מלובביטש,,,ד. הסטוריה יהודית,ג. אישים בינלאומיים,,840,א
השומר,,,ד. הסטוריה יהודית,,רחוב,813,א
ויצמן,פרופ',חיים,ד. הסטוריה יהודית,,רחוב,814,א
ורבורג,"ד""ר",אוטו,ד. הסטוריה יהודית,,רחוב,815,א
טוביהו,,דוד,ב. תושבי העיר,יד. יקירי העיר,שדרות,366,א
כצנלסון,,ברל,ד. הסטוריה יהודית,,רחוב,817,א
מונטיפיורי,סר,משה,ד. הסטוריה יהודית,,רחוב,818,א
מוריה,,,ז. מקומות של עם ישראל,,רחוב,849,א
מנדלי מוכר ספרים,,,יא. תרבות ומדע,,רחוב,819,א
ניסים,הרב,יצחק,טז. אנשי ציבור,,קרית,,א
סוקולוב,,נחום,ד. הסטוריה יהודית,,רחוב,820,א
סמאטס,,יוחנן,ג. אישים בינלאומיים,,רחוב,821,א
עליית הנוער,,,ד. הסטוריה יהודית,,גן,,א
קפלן,,אליעזר,ד. הסטוריה יהודית,טו. מגילת העצמאות,כיכר,850,א
רגר,,יצחק,ב. תושבי העיר,,שדרות,811,א
שבזי,רבי,שלום,יא. תרבות ומדע,,רחוב,848,א
"שח""ל",,,ט. לוחמי ישראל,,רחוב,823,א
שפירא,,הרמן,ד. הסטוריה יהודית,,רחוב,824,א
תל חי,,,ז. מקומות של עם ישראל,,רחוב,825,א
בן אסא,,בינימין,ב. תושבי העיר,,רחוב,1408,א. תעשיה
בן עמי,,אברהם,ב. תושבי העיר,,רחוב,858,א. תעשיה
גרשפלד,,יעקב,ב. תושבי העיר,,רחוב,841,א. תעשיה
דקל,,,יז. צמחים ובעלי חיים,,רחוב,1411,א. תעשיה
האורגים,,,ח. מורשת,,רחוב,531,א. תעשיה
הטחנה,,,מלאכה ומתכות,,רחוב,869,א. תעשיה
המוסכים,,,מלאכה ומתכות,,רחוב,831,א. תעשיה
